Tweet of the development set,True class,Predicted class with word-based,Predicted class BPE
Uche Chukwu ga emé... regardless . #NigeriaDecides[NUM],positive,positive,positive
@user Anuri ubochi ncheta omumu gi. Mazi Zebrudaya,positive,positive,positive
@user Daalu nwanne. Oseburuwa goziere m gi..,positive,positive,positive
@user @user @user @user @user @user @user @user @user @user Eze udene [NUM]🙏🙏🙏🙏 Chukwu gizie gị.,positive,positive,positive
@user Ka Jehovah Nara mgburu obi gi,positive,positive,positive
Hello @user Good Afternoon. E ka san. Ehihie oma.,positive,positive,positive
"Na ndu ebebe, Amem. [URL]",positive,positive,positive
"Amen, Nwanne di na Mba! [URL]",positive,positive,positive
🎵#NP: Ogologo Ndu - @user #WaffiMaras w @user,positive,positive,positive
"Imara mma eehh. #nobodyugly!! Okwa ego na akpali mmadu baby, o kwanu ka o di oh",positive,negative,negative
Nwa oma osiso @user Love 💙💙💙💙💙💙💙💙💙💙💙 @user Mbieri Mbaitoli Imo State [URL],positive,positive,positive
@user @user Imela... Chineke gozie gi,positive,positive,positive
@user Eziokwu!! Ihe nke a dim mma nnọọ 🙂,positive,positive,positive
Dike di na mba [URL],positive,positive,positive
"Everyday, I thank God I was born into the Igbo tribe. Échichè ahụ n'enye anwuli ná óbị",positive,positive,positive
@user 😂 😂 😂 Asa na eri ụkwụ anụ. Nke a ga adịkwa nụ gị mma.,positive,positive,negative
"@user 😭😭😭😭 Olisa bi na ìgwè, ọkwa ị na afụ",positive,positive,negative
@user Ada Ada. Dalụ nwanyị oma.,positive,positive,positive
Chukwu gozie unu Nile Nye unu ogologo ndu na ahu siri Ike na afo ohuru a,positive,positive,positive
"@user @user @user @user @user @user @user @user As you Dey Kpo, your liver Dey kpo kpo di kpo kpo kpo di kpo kpo di kpo",positive,positive,negative
@user Just like Buhari abi? Jisie nụ ike!,positive,positive,positive
"@user Happy birthday Amy, ogologo ndu na ahu ike n'aha Jisus Kraist bu Onye nwe anyi Amen",positive,positive,positive
Onyem Chukwu goziwerem gi [URL],positive,positive,positive
Umu oma umu aka dot igbo amaka,positive,positive,positive
Happy birthday odogwu @user ... Chukwu gozie gi!! 👊🏼👊🏼,positive,positive,positive
@user @user Ọ ma ezigbo akwụkwọ.,positive,negative,negative
@user Mena onye nkem,positive,positive,positive
"Zaddy! Akpa mgbo! Tu Tu Ga Ga!! Nwoke di slim mana amu long like river Nile 🙌🙌 Nwanne, you're very very good! [URL]",positive,positive,positive
@user @user Congratulations bụ congratulations maọbụ ekele nke aṅụrị,positive,positive,positive
@user nne kedu ...nice job ..,positive,negative,negative
Nnukwu mmanwu for that matter. 😂😂😂😂😂😂😂 [URL],positive,positive,negative
@user Chukwu AGOZiGO Gi!!!! (AUDIO) [URL],positive,positive,positive
Rọputara onwe unu Chukwu Nna Onye unu ga n'efe Mụ na ezi na ụlọ mụ oh Anyị ga efe Chukwu Okaka ke bi n'igwe Mmalite n'ọbụ Gi Alpha na Omega Nani gị ka anyị ga efe 💃🏽💃🏽💃🏽💃🏽 [URL],positive,positive,positive
"Olisa bi n'igwe ma ogodo ya ana akwu n'ani, Otito diri aha nso gi!",positive,positive,positive
Nma nma! Nma Jesus onye ebere #GoodMorningEnugu #GoodMorningEnugu[NUM] @user @user,positive,positive,positive
@user Kedu Chinemerem nwa oma,positive,positive,positive
"@user happy birthday onye m, Chukwu nna Gozie gi nke ukwu, ogologo ndu n'aru nsi Ike.",positive,positive,positive
Udo chia na ndu unu. [URL],positive,positive,positive
@user @user Iseeeeeeeee. Daalu shinne ezigbo nwa nnem,positive,positive,positive
"🎶 Iyo-gogo Iyo-gogo K'anyi je na nke bishopu na ego adigo. 🎶 Peter and Paul, Welcome back.",positive,positive,positive
@user @user Chukwu gọzie gị nna m [URL],positive,positive,positive
@user @user @user @user @user @user @user @user @user @user @user Ọkwa Ada dị mma kà ọbụ,positive,positive,negative
Maka o di Mma Ndigbo #PlanToAttend [URL],positive,positive,positive
@user Ezigbo mmadu. Chukwuokike gozie gi,positive,positive,positive
@user @user thanks ndi nkem,positive,positive,positive
